20000		0.000015839		0.000000077		50
40000		0.000026800		0.000000069		50
60000		0.000037232		0.000000074		50
80000		0.000044689		0.000000093		50
100000		0.000080954		0.000000120		50
120000		0.000065125		0.000000096		50
140000		0.000068846		0.000000071		50
160000		0.000103200		0.000000109		50
180000		0.000071276		0.000000077		50
200000		0.000103754		0.000000108		50
220000		0.000090994		0.000000079		50
240000		0.000097980		0.000000081		50
260000		0.000103000		0.000000071		50
280000		0.000125938		0.000000101		50
300000		0.000117213		0.000000099		50
320000		0.000108612		0.000000067		50
340000		0.000152771		0.000000144		50
360000		0.000138000		0.000000086		50
380000		0.000143014		0.000000084		50
400000		0.000160644		0.000000111		50
420000		0.000164611		0.000000107		50
440000		0.000180424		0.000000109		50
460000		0.000193975		0.000000148		50
480000		0.000159349		0.000000102		50
500000		0.000165463		0.000000094		50
520000		0.000186046		0.000000101		50
540000		0.000198409		0.000000102		50
560000		0.000202049		0.000000107		50
580000		0.000199533		0.000000092		50
600000		0.000232379		0.000000099		50
620000		0.000214173		0.000000111		50
640000		0.000182400		0.000000076		50
660000		0.000220974		0.000000083		50
680000		0.000255633		0.000000125		50
700000		0.000237611		0.000000130		50
720000		0.000212132		0.000000104		50
740000		0.000240865		0.000000081		50
760000		0.000214458		0.000000089		50
780000		0.000204897		0.000000065		50
800000		0.000262962		0.000000108		50
820000		0.000271662		0.000000148		50
840000		0.000265789		0.000000111		50
860000		0.000246678		0.000000087		50
880000		0.000288930		0.000000105		50
900000		0.000263734		0.000000106		50
920000		0.000262812		0.000000078		50
940000		0.000279226		0.000000119		50
960000		0.000290020		0.000000099		50
980000		0.000243528		0.000000089		50
1000000		0.000530000		0.000001832		50
